"NAICS codes","NAICS U.S. industry title","Size standards in millions of dollars","Size standards in number of employees"
111110,Soybean Farming,$1.0,NULL
111120,Oilseed (except Soybean) Farming,$1.0,NULL
111130,Dry Pea and Bean Farming,$1.0,NULL
111140,Wheat Farming,$1.0,NULL
111150,Corn Farming,$1.0,NULL
111160,Rice Farming,$1.0,NULL
111191,Oilseed and Grain Combination Farming,$1.0,NULL
111199,All Other Grain Farming,$1.0,NULL
111211,Potato Farming,$1.0,NULL
111219,"Other Vegetable (except Potato) and Melon Farming",$1.0,NULL
111310,Orange Groves,$1.0,NULL
111320,Citrus (except Orange) Groves,$1.0,NULL
111331,Apple Orchards,$1.0,NULL
111332,Grape Vineyards,$1.0,NULL
111333,Strawberry Farming,$1.0,NULL
111334,Berry (except Strawberry) Farming,$1.0,NULL
111335,Tree Nut Farming,$1.0,NULL
111336,Fruit and Tree Nut Combination Farming,$1.0,NULL
111339,Other Noncitrus Fruit Farming,$1.0,NULL
111411,Mushroom Production,$1.0,NULL
111419,Other Food Crops Grown Under Cover,$1.0,NULL
111421,Nursery and Tree Production,$1.0,NULL
111422,Floriculture Production,$1.0,NULL
111910,Tobacco Farming,$1.0,NULL
111920,Cotton Farming,$1.0,NULL
111930,Sugarcane Farming,$1.0,NULL
111940,Hay Farming,$1.0,NULL
111991,Sugar Beet Farming,$1.0,NULL
111992,Peanut Farming,$1.0,NULL
111998,All Other Miscellaneous Crop Farming,$1.0,NULL
112111,Beef Cattle Ranching and Farming,$1.0,NULL
112112,Cattle Feedlots,$8.0,NULL
112120,Dairy Cattle and Milk Production,$1.0,NULL
112310,Chicken Egg Production,$16.5,NULL
112320,"Broilers and Other Meat Type Chicken Production",$1.0,NULL
112330,Turkey Production,$1.0,NULL
112340,Poultry Hatcheries,$1.0,NULL
112390,Other Poultry Production,$1.0,NULL
112410,Sheep Farming,$1.0,NULL
112420,Goat Farming,$1.0,NULL
112511,Finfish Farming and Fish Hatcheries,$1.0,NULL
112512,Shellfish Farming,$1.0,NULL
112519,Other  Aquaculture,$1.0,NULL
112910,Apiculture,$1.0,NULL
112920,Horses and Other Equine Production,$1.0,NULL
112930,Fur-Bearing Animal and Rabbit Production,$1.0,NULL
112990,All Other Animal Production,$1.0,NULL
113110,Timber Tract Operations,$12.0,NULL
113210,"Forest Nurseries and Gathering of Forest Products",$12.0,NULL
113310,Logging,NULL,500
114111,Finfish Fishing,$22.0,NULL
114112,Shellfish Fishing,$6.0,NULL
114119,Other Marine Fishing,$8.0,NULL
114210,Hunting and Trapping,$6.0,NULL
115111,Cotton Ginning,$12.0,NULL
115112,"Soil Preparation, Planting, and Cultivating",$8.0,NULL
115113,"Crop Harvesting, Primarily by Machine",$8.0,NULL
115114,"Postharvest Crop Activities (except Cotton Ginning)",$30.0,NULL
115115,Farm Labor Contractors and Crew Leaders,$16.5,NULL
115116,Farm Management Services,$8.0,NULL
115210,Support Activities for Animal Production,$8.0,NULL
115310,Support Activities for Forestry,$8.0,NULL
"115310_Except",Forest Fire Suppression,$20.5,NULL
"115310_Except",Fuels Magagement Services,$20.5,NULL
211120,Crude Petroleum Extraction,NULL,"1,250"
211130,Natural Gas Extraction,NULL,"1,250"
212111,Bituminous Coal and Lignite Surface Mining,NULL,"1,250"
212112,Bituminous Coal Underground Mining,NULL,"1,500"
212113,Anthracite Mining,NULL,250
212210,Iron Ore Mining,NULL,750
212221,Gold Ore Mining,NULL,"1,500"
212222,Silver Ore Mining,NULL,250
212230,"Copper, Nickel, Lead, and Zinc Mining",NULL,750
212291,Uranium-Radium-Vanadium Ore Mining,NULL,250
212299,All Other Metal Ore Mining,NULL,750
212311,Dimension Stone Mining and Quarrying,NULL,500
212312,"Crushed and Broken Limestone Mining and Quarrying",NULL,750
212313,"Crushed and Broken Granite Mining and Quarrying",NULL,750
212319,"Other Crushed and Broken Stone Mining and Quarrying",NULL,500
212321,Construction Sand and Gravel Mining,NULL,500
212322,Industrial Sand Mining,NULL,500
212324,Kaolin and Ball Clay Mining,NULL,750
212325,"Clay and Ceramic and Refractory Minerals Mining",NULL,500
212391,"Potash, Soda, and Borate Mineral Mining",NULL,750
212392,Phosphate Rock Mining,NULL,"1,000"
212393,Other Chemical and Fertilizer Mineral Mining,NULL,500
212399,All Other Nonmetallic Mineral Mining,NULL,500
213111,Drilling Oil and Gas Wells,NULL,"1,000"
213112,Support Activities for Oil and Gas Operations,$41.5,NULL
213113,Support Activities for Coal Mining,$22.0,NULL
213114,Support Activities for Metal Mining,$22.0,NULL
221111,Hydroelectric Power Generation,NULL,500
221112,Fossil Fuel Electric Power Generation,NULL,750
221113,Nuclear Electric Power Generation,NULL,750
221114,Solar Electric Power Generation,NULL,250
221115,Wind Electric Power Generation,NULL,250
221116,Geothermal Electric Power Generation,NULL,250
221117,Biomass Electric Power Generation,NULL,250
221118,Other Electric Power Generation,NULL,250
221121,"Electric Bulk Power Transmission and Control",NULL,500
221122,Electric Power Distribution,NULL,"1,000"
221210,Natural Gas Distribution,NULL,"1,000"
221310,Water Supply and Irrigation Systems,$30.0,NULL
221320,Sewage Treatment Facilities,$22.0,NULL
221330,Steam and Air-Conditioning Supply,$16.5,NULL
236115,"New Single-family Housing Construction (Except For-Sale Builders)",$39.5,NULL
236116,"New Multifamily Housing Construction (Except For-Sale Builders)",$39.5,NULL
236117,New Housing For-Sale Builders,$39.5,NULL
236118,Residential Remodelers,$39.5,NULL
236210,Industrial Building Construction,$39.5,NULL
236220,"Commercial and Institutional Building Construction",$39.5,NULL
